date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:46	103397/103397	---M-Z	200	added ('OK')	text/html	etag:W/%22d912455a0ff69b844dd209676c70144e--gzip%22	https://zion-demo.squarespace.com/?nochrome=true	C:/Users/Harry/Desktop/New/Website%20Copy/zion-demo.squarespace.com/index8576.html	(from )
20:25:46	303/303	---M-Z	200	added ('OK')	text/plain	date:Fri,%2002%20Apr%202021%2000:25:46%20GMT	https://zion-demo.squarespace.com/robots.txt		(from )
20:25:48	103397/103397	---M-Z	200	added ('OK')	text/html	etag:W/%22d912455a0ff69b844dd209676c70144e%22	https://zion-demo.squarespace.com/	C:/Users/Harry/Desktop/New/Website%20Copy/zion-demo.squarespace.com/index.html	(from https://zion-demo.squarespace.com/?nochrome=true)
20:25:48	16706/16706	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2002%20Apr%202021%2000:25:47%20GMT	http://use.typekit.net/ik/6uuFEJUTxN5YZmKPHq2vs4fUc57RIIEprF0oEh9nuFMfeC9gfFHN4UJLFRbh52jhWDmRZQmyF2ZR52SkZAwaw2M3wQj3wAscjyTxHKoDSWmyScmDSeBRZPoRdhXCHKoE-AN0OAs8dAv0SaBujW48Sagyjh90jhNlOeUzjhBC-eNDifUDSWmyScmDSeBRZPoRdhXCiaiaO1TTdhtlZemldkoDSWmyScmDSeBRZPoRdhXCpc8zdKuqZAuzO1FUiABkZWF3jAF8OcFzdPJHjAFudA80OWgkdkGHfwDOMsMMeM96MTMgXG-b_M9.js	C:/Users/Harry/Desktop/New/Website%20Copy/use.typekit.net/ik/6uuFEJUTxN5YZmKPHq2vs4fUc57RIIEprF0oEh9nuFMfeC9gfFHN4UJLFRbh52jhWDmRZQmyF2ZR52SkZAwaw2M3wQj3wAscjyTxHKoDSWmyScmDSeBRZPoRdhXCHKoE-AN0OAs8dAv0SaBujW48Sagyjh90jhNlOeUzjhBC-eNDifUDS	(from https://zion-demo.squarespace.com/?nochrome=true)
20:25:52	121795/121795	---M-Z	200	added ('OK')	text/javascript	etag:%22407be27f6c01802526b08d75e747f800%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-7d6dc599f0e9e5882dcca-min.en-US.js	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-7d6dc599f0e9e5882dcca-min.en-US.js	(from https://zion-demo.squarespace.com/?nochrome=true)
20:25:55	257746/257746	---M-Z	200	added ('OK')	text/javascript	etag:%220e28a2bab2568967b06ccb29a987d025%22	http://assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-26ddeab7fa5f90b6c8cb3-min.en-US.js	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-26ddeab7fa5f90b6c8cb3-min.en-US.js	(from https://zion-demo.squarespace.com/?nochrome=true)
20:25:55	7622/7622	---M-Z	200	added ('OK')	text/css	etag:%2234ea58d8a40a4485b857c7ab96649e9c%22	http://assets.squarespace.com/universal/styles-compressed/signup-506cf5747cd7a76969673-min.en-US.css	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/styles-compressed/signup-506cf5747cd7a76969673-min.en-US.css	(from https://zion-demo.squarespace.com/?nochrome=true)
20:25:57	44281/44281	---M-Z	200	added ('OK')	text/javascript	etag:%22110cb82afb27bd221c21fa9cab8f3c83%22	http://assets.squarespace.com/universal/scripts-compressed/performance-a7b609eccb65e08a74111-min.en-US.js	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/scripts-compressed/performance-a7b609eccb65e08a74111-min.en-US.js	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:13	413443/413443	---M-Z	200	added ('OK')	text/javascript	etag:%22879ae024b004bcc46839a9c3730d783c%22	http://assets.squarespace.com/universal/scripts-compressed/error-reporter-c70a1e45b6c7ac91d0f02-min.en-US.js	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/scripts-compressed/error-reporter-c70a1e45b6c7ac91d0f02-min.en-US.js	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:15	705017/705017	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Apr%202021%2000:26:13%20GMT	http://static1.squarespace.com/static/sitecss/5ce5a46c872ec70001601dfb/181/5c5a519771c10ba3470d8101/5ce5a46c872ec70001601e11/1042-05142015/1570221984015/site.css	C:/Users/Harry/Desktop/New/Website%20Copy/static1.squarespace.com/static/sitecss/5ce5a46c872ec70001601dfb/181/5c5a519771c10ba3470d8101/5ce5a46c872ec70001601e11/1042-05142015/1570221984015/site.css	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:19	50178/50178	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Apr%202021%2000:26:16%20GMT	https://zion-demo.squarespace.com/cart	C:/Users/Harry/Desktop/New/Website%20Copy/zion-demo.squarespace.com/cart.html	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:20	662927/662927	---M-Z	200	added ('OK')	text/javascript	etag:%22c0d4905094af91debb067a4b5ab256bb%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-4b3d27b83ea00c61a3718-min.en-US.js	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/scripts-compressed/common-vendors-4b3d27b83ea00c61a3718-min.en-US.js	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:20	54550/54550	---M-Z	200	added ('OK')	text/html	etag:W/%22a5180710ff7feb3d713e257dc564bd14%22	https://zion-demo.squarespace.com/about	C:/Users/Harry/Desktop/New/Website%20Copy/zion-demo.squarespace.com/about.html	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:21	57950/57950	---M-Z	200	added ('OK')	text/html	etag:W/%22c6832014a43c04bcce1f3196a82b227d%22	https://zion-demo.squarespace.com/contact	C:/Users/Harry/Desktop/New/Website%20Copy/zion-demo.squarespace.com/contact.html	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:22	79196/79196	---M-Z	200	added ('OK')	text/html	etag:W/%2248a71402bd4f30f60b4a0a38fa789c3f--gzip%22	https://zion-demo.squarespace.com/work/67f45e26-9b6f-4358-92d8-01f3c4091410-a2tbn	C:/Users/Harry/Desktop/New/Website%20Copy/zion-demo.squarespace.com/work/67f45e26-9b6f-4358-92d8-01f3c4091410-a2tbn.html	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:23	93849/93849	---M-Z	200	added ('OK')	text/html	etag:W/%22e93073a654d32bc85ef9903b5573ccf3--gzip%22	https://zion-demo.squarespace.com/work/67f45e26-9b6f-4358-92d8-01f3c4091410-xsyhr	C:/Users/Harry/Desktop/New/Website%20Copy/zion-demo.squarespace.com/work/67f45e26-9b6f-4358-92d8-01f3c4091410-xsyhr.html	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:24	83672/83672	---M-Z	200	added ('OK')	text/html	etag:W/%22d8b918f85ae96faf35557b46bdb16832%22	https://zion-demo.squarespace.com/work/67f45e26-9b6f-4358-92d8-01f3c4091410-nga8p	C:/Users/Harry/Desktop/New/Website%20Copy/zion-demo.squarespace.com/work/67f45e26-9b6f-4358-92d8-01f3c4091410-nga8p.html	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:29	104196/104196	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2002%20Apr%202021%2000:26:24%20GMT	https://static1.squarespace.com/static/ta/5c5a514d65019f01a2cb2be5/1042/scripts/site-common.js	C:/Users/Harry/Desktop/New/Website%20Copy/static1.squarespace.com/static/ta/5c5a514d65019f01a2cb2be5/1042/scripts/site-common.js	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:32	995946/995946	---M-Z	200	added ('OK')	text/javascript	etag:W/%227deeedf2e2c307f58b48e942f8f57162%22	http://assets.squarespace.com/universal/scripts-compressed/common-5e7c4cdd61e077a7d1b86-min.en-US.js	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/scripts-compressed/common-5e7c4cdd61e077a7d1b86-min.en-US.js	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:37	522405/522405	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2002%20Apr%202021%2000:26:23%20GMT	https://static1.squarespace.com/static/ta/5c5a514d65019f01a2cb2be5/1042/scripts/site-bundle.js	C:/Users/Harry/Desktop/New/Website%20Copy/static1.squarespace.com/static/ta/5c5a514d65019f01a2cb2be5/1042/scripts/site-bundle.js	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:39	1558440/1558440	---M-Z	200	added ('OK')	text/javascript	etag:%2249e87e68a71d486c703040e4a5be6f83%22	http://assets.squarespace.com/universal/scripts-compressed/signup-1495f8e9938fd46258760-min.en-US.js	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/scripts-compressed/signup-1495f8e9938fd46258760-min.en-US.js	(from https://zion-demo.squarespace.com/?nochrome=true)
20:26:40	2889/2889	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:05%20GMT	http://assets.squarespace.com/universal/images-v6/icons/icon-close-8-light.png	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/images-v6/icons/icon-close-8-light.png	(from http://assets.squarespace.com/universal/styles-compressed/signup-506cf5747cd7a76969673-min.en-US.css)
20:26:40	2862/2862	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:10%20GMT	http://assets.squarespace.com/universal/images-v6/icons/icon-closethin-15-light.png	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/images-v6/icons/icon-closethin-15-light.png	(from http://assets.squarespace.com/universal/styles-compressed/signup-506cf5747cd7a76969673-min.en-US.css)
20:26:40	1262/1262	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark.png	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/images-v6/damask/error-dark.png	(from http://static1.squarespace.com/static/sitecss/5ce5a46c872ec70001601dfb/181/5c5a519771c10ba3470d8101/5ce5a46c872ec70001601e11/1042-05142015/1570221984015/site.css)
20:26:41	1676/1676	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	(from http://static1.squarespace.com/static/sitecss/5ce5a46c872ec70001601dfb/181/5c5a519771c10ba3470d8101/5ce5a46c872ec70001601e11/1042-05142015/1570221984015/site.css)
20:26:41	1219/1219	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:01%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button.png	C:/Users/Harry/Desktop/New/Website%20Copy/assets.squarespace.com/universal/images-v6/damask/play-button.png	(from http://static1.squarespace.com/static/sitecss/5ce5a46c872ec70001601dfb/181/5c5a519771c10ba3470d8101/5ce5a46c872ec70001601e11/1042-05142015/1570221984015/site.css)
